Finger Label,Capo,Chord,Finger,Fret,Guitar String,Key,Note Order,Note,Roman Numeral
,,A,x,0,1,A,,,I
,,A,0,0,2,A,,A,I
1,,A,2,2,3,A,,E,I
2,,A,3,2,4,A,,A,I
3,,A,4,2,5,A,,C#,I
,,A,0,0,6,A,,E,I
,,Bm,x,0,1,A,,,ii
,,Bm,0,0,2,A,,A,ii
3,,Bm,3,4,3,A,,F#,ii
4,,Bm,4,4,4,A,,B,ii
2,,Bm,2,3,5,A,,D,ii
1,,Bm,1,2,6,A,,F#,ii
,,C#m,x,0,1,A,,,iii
,,C#m,x,0,2,A,,,iii
2,,C#m,2,2,3,A,,E,iii
1,,C#m,1,1,4,A,,G#,iii
3,,C#m,3,2,5,A,,C#,iii
,,C#m,0,0,6,A,,E,iii
,,D,x,0,1,A,,,IV
,,D,x,0,2,A,,,IV
,,D,0,0,3,A,,D,IV
1,,D,1,2,4,A,,A,IV
3,,D,3,3,5,A,,D,IV
2,,D,2,2,6,A,,F#,IV
,,E,0,0,1,A,,E,V
2,,E,2,2,2,A,,B,V
3,,E,3,2,3,A,,E,V
1,,E,1,1,4,A,,G#,V
,,E,0,0,5,A,,B,V
,,E,0,0,6,A,,E,V
1,1,F#m,1,2,1,A,,F#,vi
3,1,F#m,3,4,2,A,,C#,vi
4,1,F#m,4,4,3,A,,F#,vi
1,1,F#m,1,2,4,A,,A,vi
1,1,F#m,1,2,5,A,,C#,vi
1,1,F#m,1,2,6,A,,F#,vi
4,,G#dim,4,4,1,A,,G#,vii
2,,G#dim,2,2,2,A,,B,vii
,,G#dim,0,0,3,A,,D,vii
1,,G#dim,1,1,4,A,,G#,vii
,,G#dim,x,x,5,A,,,vii
,,G#dim,x,x,6,A,,,vii
,2,B,x,0,1,B,,,I
1,2,B,1,2,2,B,,B,I
2,2,B,2,4,3,B,,F#,I
3,2,B,3,4,4,B,,B,I
4,2,B,4,4,5,B,,D#,I
1,2,B,1,2,6,B,,F#,I
,,C#m,x,0,1,B,,,ii
,,C#m,x,0,2,B,,,ii
2,,C#m,2,2,3,B,,E,ii
1,,C#m,1,1,4,B,,G#,ii
3,,C#m,3,2,5,B,,C#,ii
,,C#m,0,0,6,B,,E,ii
,,D#m,x,0,1,B,,,iii
,,D#m,x,0,2,B,,,iii
1,,D#m,1,1,3,B,,D#,iii
3,,D#m,3,3,4,B,,A#,iii
4,,D#m,4,4,5,B,,D#,iii
2,,D#m,2,2,6,B,,F#,iii
,,E,0,0,1,B,,E,IV
2,,E,2,2,2,B,,B,IV
3,,E,3,2,3,B,,E,IV
1,,E,1,1,4,B,,G#,IV
,,E,0,0,5,B,,B,IV
,,E,0,0,6,B,,E,IV
1,2,F#,1,2,1,B,,F#,V
3,2,F#,3,4,2,B,,C#,V
4,2,F#,4,4,3,B,,F#,V
2,2,F#,2,3,4,B,,A#,V
1,2,F#,1,2,5,B,,C#,V
1,2,F#,1,2,6,B,,F#,V
1,4,G#m,1,4,1,B,,G#,vi
3,4,G#m,3,6,2,B,,D#,vi
4,4,G#m,4,6,3,B,,G#,vi
1,4,G#m,1,4,4,B,,B,vi
1,4,G#m,1,4,5,B,,D#,vi
1,4,G#m,1,4,6,B,,G#,vi
,,A#dmin,x,x,1,B,,,vii
1,,A#dmin,1,1,2,B,,A#,vii
2,,A#dmin,2,2,3,B,,E,vii
4,,A#dmin,4,3,4,B,,A#,vii
3,,A#dmin,3,2,5,B,,C#,vii
,,A#dmin,x,x,6,B,,,vii
,,C,x,0,1,C,x,,I
3,,C,3,3,2,C,1,C,I
2,,C,2,2,3,C,3,E,I
,,C,0,0,4,C,5,G,I
1,,C,1,1,5,C,1,C,I
,,C,0,0,6,C,3,E,I
,,Dm,x,0,1,C,x,,ii
,,Dm,x,0,2,C,x,,ii
,,Dm,0,0,3,C,1,D,ii
2,,Dm,2,2,4,C,1,A,ii
4,,Dm,4,3,5,C,1,D,ii
1,,Dm,1,1,6,C,b3,F,ii
,,Em,0,0,1,C,1,E,iii
2,,Em,2,2,2,C,5,B,iii
3,,Em,3,2,3,C,1,E,iii
,,Em,0,0,4,C,b3,G,iii
,,Em,0,0,5,C,5,B,iii
,,Em,0,0,6,C,1,E,iii
,,F,x,0,1,C,x,,IV
,,F,x,0,2,C,x,,IV
3,,F,3,3,3,C,1,F,IV
2,,F,2,2,4,C,3,A,IV
1,,F,1,1,5,C,5,C,IV
1,,F,1,1,6,C,1,F,IV
2,,G,2,3,1,C,1,G,V
1,,G,1,2,2,C,3,B,V
,,G,0,0,3,C,5,D,V
,,G,0,0,4,C,1,G,V
,,G,0,0,5,C,3,B,V
3,,G,3,3,6,C,1,G,V
,,Am,x,0,1,C,x,,vi
,,Am,0,0,2,C,1,A,vi
2,,Am,2,2,3,C,5,E,vi
3,,Am,3,2,4,C,1,A,vi
1,,Am,1,1,5,C,b3,C,vi
,,Am,0,0,6,C,5,E,vi
,1,Bdim,x,x,1,C,x,,vii
1,1,Bdim,1,2,2,C,1,B,vii
2,1,Bdim,2,3,3,C,5,F,vii
4,1,Bdim,4,4,4,C,1,B,vii
3,1,Bdim,3,3,5,C,3,D,vii
,1,Bdim,x,x,6,C,5,,vii
,,D,x,0,1,D,,,I
,,D,x,0,2,D,,,I
,,D,0,0,3,D,,D,I
1,,D,1,2,4,D,,A,I
3,,D,3,3,5,D,,D,I
2,,D,2,2,6,D,,F#,I
,,Em,0,0,1,D,1,E,ii
2,,Em,2,2,2,D,5,B,ii
3,,Em,3,2,3,D,1,E,ii
,,Em,0,0,4,D,b3,G,ii
,,Em,0,0,5,D,5,B,ii
,,Em,0,0,6,D,1,E,ii
1,,F#m,1,2,1,D,,F#,iii
3,,F#m,3,4,2,D,,C#,iii
4,,F#m,4,4,3,D,,F#,iii
1,,F#m,1,2,4,D,,A,iii
1,,F#m,1,2,5,D,,C#,iii
1,,F#m,1,2,6,D,,F#,iii
2,,G,2,3,1,D,,G,IV
1,,G,1,2,2,D,,B,IV
,,G,0,0,3,D,,D,IV
,,G,0,0,4,D,,G,IV
,,G,0,0,5,D,,B,IV
3,,G,3,3,6,D,,G,IV
,,A,x,0,1,D,,,V
,,A,0,0,2,D,,A,V
1,,A,2,2,3,D,,E,V
2,,A,3,2,4,D,,A,V
3,,A,4,2,5,D,,C#,V
,,A,0,0,6,D,,E,V
,,Bm,x,0,1,D,,,vi
,,Bm,0,0,2,D,,A,vi
3,,Bm,3,4,3,D,,F#,vi
4,,Bm,4,4,4,D,,B,vi
2,,Bm,2,3,5,D,,D,vi
1,,Bm,1,2,6,D,,F#,vi
,,C#dmin,x,x,1,D,,,vii
4,,C#dmin,4,4,2,D,,C#,vii
2,,C#dmin,2,2,3,D,,E,vii
,,C#dmin,0,0,4,D,,G,vii
1,,C#dmin,1,2,5,D,,C#,vii
,,C#dmin,0,0,6,D,,E,vii
,,E,0,0,1,E,,E,I
2,,E,2,2,2,E,,B,I
3,,E,3,2,3,E,,E,I
1,,E,1,1,4,E,,G#,I
,,E,0,0,5,E,,B,I
,,E,0,0,6,E,,E,I
1,,F#m,1,2,1,E,,F#,ii
3,,F#m,3,4,2,E,,C#,ii
4,,F#m,4,4,3,E,,F#,ii
1,,F#m,1,2,4,E,,A,ii
1,,F#m,1,2,5,E,,C#,ii
1,,F#m,1,2,6,E,,F#,ii
1,,G#m,1,4,1,E,,G#,iii
3,,G#m,3,6,2,E,,D#,iii
4,,G#m,4,6,3,E,,G#,iii
1,,G#m,1,4,4,E,,B,iii
1,,G#m,1,4,5,E,,D#,iii
1,,G#m,1,4,6,E,,G#,iii
,,A,x,0,1,E,,,IV
,,A,0,0,2,E,,A,IV
1,,A,2,2,3,E,,E,IV
2,,A,3,2,4,E,,A,IV
3,,A,4,2,5,E,,C#,IV
,,A,0,0,6,E,,E,IV
,,B,x,0,1,E,,,V
1,,B,1,2,2,E,,B,V
2,,B,2,4,3,E,,F#,V
3,,B,3,4,4,E,,B,V
4,,B,4,4,5,E,,D#,V
1,,B,1,2,6,E,,F#,V
,,C#m,x,0,1,E,,,vi
,,C#m,x,0,2,E,,,vi
2,,C#m,2,2,3,E,,E,vi
1,,C#m,1,1,4,E,,G#,vi
3,,C#m,3,2,5,E,,C#,vi
,,C#m,0,0,6,E,,E,vi
,,D#dim,x,x,1,E,,,vii
,,D#dim,x,x,2,E,,,vii
1,,D#dim,1,1,3,E,,D#,vii
2,,D#dim,2,2,4,E,,A,vii
4,,D#dim,4,4,5,E,,D#,vii
3,,D#dim,3,3,6,E,,G,vii
,,F,x,0,1,F,,,I
,,F,x,0,2,F,,,I
3,,F,3,3,3,F,,F,I
2,,F,2,2,4,F,,A,I
1,,F,1,1,5,F,,C,I
1,,F,1,1,6,F,,F,I
1,,Gm,1,3,1,F,,G,ii
3,,Gm,3,5,2,F,,D,ii
4,,Gm,4,5,3,F,,G,ii
1,,Gm,1,3,4,F,,A#,ii
1,,Gm,1,3,5,F,,D,ii
1,,Gm,1,3,6,F,,G,ii
,,Am,x,0,1,F,x,,iii
,,Am,0,0,2,F,1,A,iii
2,,Am,2,2,3,F,5,E,iii
3,,Am,3,2,4,F,1,A,iii
1,,Am,1,1,5,F,b3,C,iii
,,Am,0,0,6,F,5,E,iii
,,Bb,x,0,1,F,x,,IV
1,,Bb,1,1,2,F,1,A#,IV
2,,Bb,2,3,3,F,5,F,IV
3,,Bb,3,3,4,F,1,A#,IV
4,,Bb,4,3,5,F,3,D,IV
1,,Bb,1,1,6,F,5,F,IV
,,C,x,0,1,F,x,,V
3,,C,3,3,2,F,1,C,V
2,,C,2,2,3,F,3,E,V
,,C,0,0,4,F,5,G,V
1,,C,1,1,5,F,1,C,V
,,C,0,0,6,F,3,E,V
,,Dm,x,0,1,F,x,,vi
,,Dm,x,0,2,F,x,,vi
,,Dm,0,0,3,F,1,D,vi
2,,Dm,2,2,4,F,1,A,vi
4,,Dm,4,3,5,F,1,D,vi
1,,Dm,1,1,6,F,b3,F,vi
,,Edim,0,0,1,F,,E,vii
1,,Edim,1,1,2,F,,A#,vii
3,,Edim,3,2,3,F,,E,vii
,,Edim,0,0,4,F,,G,vii
,,Edim,x,x,5,F,,,vii
,,Edim,x,x,6,F,,,vii
2,,G,2,3,1,G,1,G,I
1,,G,1,2,2,G,3,B,I
,,G,0,0,3,G,5,D,I
,,G,0,0,4,G,1,G,I
,,G,0,0,5,G,3,B,I
3,,G,3,3,6,G,1,G,I
,,Am,x,0,1,G,x,,ii
,,Am,0,0,2,G,1,A,ii
2,,Am,2,2,3,G,5,E,ii
3,,Am,3,2,4,G,1,A,ii
1,,Am,1,1,5,G,b3,C,ii
,,Am,0,0,6,G,5,E,ii
,,Bm,x,0,1,G,,,iii
,,Bm,0,0,2,G,,A,iii
3,,Bm,3,4,3,G,,F#,iii
4,,Bm,4,4,4,G,,B,iii
2,,Bm,2,3,5,G,,D,iii
1,,Bm,1,2,6,G,,F#,iii
,,C,x,0,1,G,x,,IV
3,,C,3,3,2,G,1,C,IV
2,,C,2,2,3,G,3,E,IV
,,C,0,0,4,G,5,G,IV
1,,C,1,1,5,G,1,C,IV
,,C,0,0,6,G,3,E,IV
,,D,x,0,1,G,,,V
,,D,x,0,2,G,,,V
,,D,0,0,3,G,,D,V
1,,D,1,2,4,G,,A,V
3,,D,3,3,5,G,,D,V
2,,D,2,2,6,G,,F#,V
,,Em,0,0,1,G,1,E,vi
2,,Em,2,2,2,G,5,B,vi
3,,Em,3,2,3,G,1,E,vi
,,Em,0,0,4,G,b3,G,vi
,,Em,0,0,5,G,5,B,vi
,,Em,0,0,6,G,1,E,vi
,,F#dim,x,x,1,G,,,vii
,,F#dim,x,x,2,G,,,vii
4,,F#dim,4,4,3,G,,F#,vii
2,,F#dim,2,2,4,G,,A,vii
1,,F#dim,1,1,5,G,,C,vii
3,,F#dim,3,2,6,G,,F#,vii
